Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Abacus,1467-6281,Yes,,,Wiley
Academic Emergency Medicine,1553-2712,Yes,,,Wiley
Accounting & Finance,1467-629X,Yes,,,Wiley
Accounting Perspectives,1911-3838,Yes,,,Wiley
Acta Anaesthesiologica Scandinavica,1399-6576,Yes,,,Wiley
Acta Crystallographica Section A: Foundations and Advances,2053-2733,Yes,,,Wiley
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",2052-5206,Yes,,,Wiley
Acta Crystallographica Section C: Structural Chemistry,2053-2296,Yes,,,Wiley
Acta Crystallographica Section D: Structural Biology,2059-7983,Yes,,,Wiley
Acta Crystallographica Section F: Structural Biology Communications,2053-230X,Yes,,,Wiley
Acta Geologica Sinica (English Edition),1755-6724,Yes,,,Wiley
Acta Neurologica Scandinavica,1600-0404,Yes,,,Wiley
Acta Paediatrica: Nurturing the Child,1651-2227,Yes,,,Wiley
Acta Physiologica,1748-1716,Yes,,,Wiley
Acta Psychiatrica Scandinavica,1600-0447,Yes,,,Wiley
Acta Zoologica,1463-6395,Yes,,,Wiley
Addiction,1360-0443,Yes,,,Wiley
Addiction Biology,1369-1600,Yes,,,Wiley
Advanced Biology,2701-0198,Yes,,,Wiley
Advanced Control for Applications,2578-0727,Yes,,,Wiley
Advanced Electronic Materials,2199-160X,Yes,,,Wiley
Advanced Energy Materials,1614-6840,Yes,,,Wiley
Advanced Engineering Materials,1527-2648,Yes,,,Wiley
Advanced Functional Materials,1616-3028,Yes,,,Wiley
Advanced Healthcare Materials,2192-2659,Yes,,,Wiley
Advanced Materials,1521-4095,Yes,,,Wiley
Advanced Materials Interfaces,2196-7350,Yes,,,Wiley
Advanced Materials Technologies,2365-709X,Yes,,,Wiley
Advanced Optical Materials,2195-1071,Yes,,,Wiley
Advanced Quantum Technologies,2511-9044,Yes,,,Wiley
Advanced Sustainable Systems,2366-7486,Yes,,,Wiley
Advanced Synthesis & Catalysis,1615-4169,Yes,,,Wiley
Advanced Theory and Simulations,2513-0390,Yes,,,Wiley
Advanced Therapeutics,2366-3987,Yes,,,Wiley
Advances in Digestive Medicine,2351-9800,Yes,,,Wiley
AEM Education and Training,2472-5390,Yes,,,Wiley
African Development Review,1467-8268,Yes,,,Wiley
African Journal of Ecology,1365-2028,Yes,,,Wiley
Aggressive Behavior,1098-2337,Yes,,,Wiley
Agribusiness,1520-6297,Yes,,,Wiley
Agricultural and Forest Entomology,1461-9563,Yes,,,Wiley
Agricultural Economics,1574-0862,Yes,,,Wiley
Agronomy Journal ,1435-0645,Yes,,,Wiley
AIChE Journal,1547-5905,Yes,,,Wiley
Alcoholism: Clinical & Experimental Research,1530-0277,Yes,,,Wiley
Alimentary Pharmacology & Therapeutics,1365-2036,Yes,,,Wiley
Allergy,1398-9995,Yes,,,Wiley
Alzheimer's & Dementia ,1552-5279,Yes,,,Wiley
American Anthropologist,1548-1433,Yes,,,Wiley
American Business Law Journal,1744-1714,Yes,,,Wiley
American Ethnologist,1548-1425,Yes,,,Wiley
American Journal of Agricultural Economics,1467-8276,Yes,,,Wiley
American Journal of Biological Anthropology,2692-7691,Yes,,,Wiley
American Journal of Community Psychology,1573-2770,Yes,,,Wiley
American Journal of Hematology,1096-8652,Yes,,,Wiley
American Journal of Human Biology,1520-6300,Yes,,,Wiley
American Journal of Industrial Medicine,1097-0274,Yes,,,Wiley
American Journal of Medical Genetics Part A,1552-4833,Yes,,,Wiley
American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,1552-485X,Yes,,,Wiley
American Journal of Medical Genetics Part C:Seminars in Medical Genetics,1552-4876,Yes,,,Wiley
American Journal of Political Science,1540-5907,Yes,,,Wiley
American Journal of Primatology,1098-2345,Yes,,,Wiley
American Journal of Reproductive Immunology,1600-0897,Yes,,,Wiley
American Journal of Transplantation,1600-6143,Yes,,,Wiley
Anaesthesia,1365-2044,Yes,,,Wiley
Anaesthesia Reports,2637-3726,Yes,,,Wiley
Analyses of Social Issues and Public Policy,1530-2415,Yes,,,Wiley
Analysis & Sensing,2629-2742,Yes,,,Wiley
Analytic Philosophy,2153-960X,Yes,,,Wiley
"Anatomia, Histologia, Embryologia",1439-0264,Yes,,,Wiley
Anatomical Sciences Education,1935-9780,Yes,,,Wiley
Andrologia,1439-0272,Yes,,,Wiley
Andrology,2047-2927,Yes,,,Wiley
Angewandte Chemie,1521-3757,Yes,,,Wiley
Angewandte Chemie International Edition,1521-3773,Yes,,,Wiley
Animal Conservation,1469-1795,Yes,,,Wiley
Animal Genetics,1365-2052,Yes,,,Wiley
Animal Science Journal,1740-0929,Yes,,,Wiley
Annalen der Physik,1521-3889,Yes,,,Wiley
Annals of Anthropological Practice,2153-9588,Yes,,,Wiley
Annals of Applied Biology,1744-7348,Yes,,,Wiley
Annals of Human Genetics,1469-1809,Yes,,,Wiley
Annals of Neurology,1531-8249,Yes,,,Wiley
Annals of Public and Cooperative Economics,1467-8292,Yes,,,Wiley
Annals of the New York Academy of Sciences,1749-6632,Yes,,,Wiley
Anthropology & Education Quarterly,1548-1492,Yes,,,Wiley
Anthropology and Humanism,1548-1409,Yes,,,Wiley
Anthropology of Consciousness,1556-3537,Yes,,,Wiley
Anthropology of Work Review,1548-1417,Yes,,,Wiley
Anthropology Today,1467-8322,Yes,,,Wiley
Antipode,1467-8330,Yes,,,Wiley
ANZ Journal of Surgery,1445-2197,Yes,,,Wiley
AORN Journal,1878-0369,Yes,,,Wiley
APMIS,1600-0463,Yes,,,Wiley
Applied Cognitive Psychology,1099-0720,Yes,,,Wiley
Applied Economic Perspectives and Policy,2040-5804,Yes,,,Wiley
Applied Organometallic Chemistry,1099-0739,Yes,,,Wiley
Applied Psychology,1464-0597,Yes,,,Wiley
Applied Psychology: Health and Well-Being,1758-0854,Yes,,,Wiley
Applied Research,2702-4288,Yes,,,Wiley
Applied Stochastic Models in Business and Industry,1526-4025,Yes,,,Wiley
Applied Vegetation Science,1654-109X,Yes,,,Wiley
Aquaculture Research,1365-2109,Yes,,,Wiley
Aquatic Conservation: Marine and Freshwater Ecosystems,1099-0755,Yes,,,Wiley
Arabian Archaeology and Epigraphy,1600-0471,Yes,,,Wiley
Archaeological Prospection,1099-0763,Yes,,,Wiley
Archaeology in Oceania,1834-4453,Yes,,,Wiley
Archaeometry,1475-4754,Yes,,,Wiley
Archeological Papers of the American Anthropological Association,1551-8248,Yes,,,Wiley
Archiv der Pharmazie,1521-4184,Yes,,,Wiley
Archives of Insect Biochemistry and Physiology,1520-6327,Yes,,,Wiley
Area,1475-4762,Yes,,,Wiley
Art History,1467-8365,Yes,,,Wiley
Arthritis & Rheumatology,2326-5205,Yes,,,Wiley
Arthritis Care & Research,2151-4658,Yes,,,Wiley
Artificial Organs,1525-1594,Yes,,,Wiley
Asia Pacific Journal of Human Resources,1744-7941,Yes,,,Wiley
Asia Pacific Viewpoint,1467-8373,Yes,,,Wiley
Asian Economic Journal,1467-8381,Yes,,,Wiley
Asian Economic Policy Review,1748-3131,Yes,,,Wiley
Asian Journal of Control,1934-6093,Yes,,,Wiley
Asian Journal of Endoscopic Surgery,1758-5910,Yes,,,Wiley
Asian Journal of Organic Chemistry ,2193-5815,Yes,,,Wiley
Asian Journal of Social Psychology,1467-839X,Yes,,,Wiley
Asian Politics & Policy,1943-0787,Yes,,,Wiley
Asian Social Work and Policy Review,1753-1411,Yes,,,Wiley
Asian-Pacific Economic Literature,1467-8411,Yes,,,Wiley
Asia-Pacific Journal of Chemical Engineering,1932-2143,Yes,,,Wiley
Asia-Pacific Journal of Clinical Oncology,1743-7563,Yes,,,Wiley
Asia-Pacific Journal of Financial Studies,2041-6156,Yes,,,Wiley
Asia-Pacific Psychiatry,1758-5872,Yes,,,Wiley
Astronomische Nachrichten,1521-3994,Yes,,,Wiley
Austral Ecology,1442-9993,Yes,,,Wiley
Austral Entomology,2052-1758,Yes,,,Wiley
Australasian Journal of Dermatology,1440-0960,Yes,,,Wiley
Australasian Journal of Ultrasound in Medicine,2205-0140,Yes,,,Wiley
Australasian Journal on Ageing,1741-6612,Yes,,,Wiley
Australian & New Zealand Journal of Statistics,1467-842X,Yes,,,Wiley
Australian Accounting Review,1835-2561,Yes,,,Wiley
Australian and New Zealand Journal of Family Therapy,1467-8438,Yes,,,Wiley
Australian and New Zealand Journal of Obstetrics and Gynaecology ,1479-828X,Yes,,,Wiley
Australian Dental Journal,1834-7819,Yes,,,Wiley
Australian Economic History Review,1467-8446,Yes,,,Wiley
Australian Economic Papers,1467-8454,Yes,,,Wiley
Australian Endodontic Journal,1747-4477,Yes,,,Wiley
Australian Journal of Grape and Wine Research,1755-0238,Yes,,,Wiley
Australian Journal of Politics and History,1467-8497,Yes,,,Wiley
Australian Journal of Public Administration,1467-8500,Yes,,,Wiley
Australian Journal of Rural Health,1440-1584,Yes,,,Wiley
Australian Journal of Social Issues,1839-4655,Yes,,,Wiley
Australian Occupational Therapy Journal,1440-1630,Yes,,,Wiley
Australian Veterinary Journal,1751-0813,Yes,,,Wiley
Autism Research,1939-3806,Yes,,,Wiley
Basic & Clinical Pharmacology & Toxicology,1742-7843,Yes,,,Wiley
Basin Research,1365-2117,Yes,,,Wiley
Batteries & Supercaps,2566-6223,Yes,,,Wiley
Behavioral Interventions,1099-078X,Yes,,,Wiley
Behavioral Sciences & the Law,1099-0798,Yes,,,Wiley
Berichte zur Wissenschaftsgeschichte,1522-2365,Yes,,,Wiley
Biochemistry and Molecular Biology Education,1539-3429,Yes,,,Wiley
Bioelectromagnetics,1521-186X,Yes,,,Wiley
BioEssays,1521-1878,Yes,,,Wiley
Bioethics,1467-8519,Yes,,,Wiley
BioFactors,1872-8081,Yes,,,Wiley
"Biofuels, Bioproducts and Biorefining",1932-1031,Yes,,,Wiley
Biological Reviews,1469-185X,Yes,,,Wiley
Biology of the Cell,1768-322X,Yes,,,Wiley
Biomedical Chromatography,1099-0801,Yes,,,Wiley
Biometrical Journal,1521-4036,Yes,,,Wiley
Biometrics,1541-0420,Yes,,,Wiley
Biopharmaceutics & Drug Disposition,1099-081X,Yes,,,Wiley
Biopolymers,1097-0282,Yes,,,Wiley
Biotechnology and Applied Biochemistry,1470-8744,Yes,,,Wiley
Biotechnology and Bioengineering,1097-0290,Yes,,,Wiley
Biotechnology Journal,1860-7314,Yes,,,Wiley
Biotechnology Progress,1520-6033,Yes,,,Wiley
Biotropica,1744-7429,Yes,,,Wiley
Bipolar Disorders,1399-5618,Yes,,,Wiley
Birth,1523-536X,Yes,,,Wiley
Birth Defects Research,2472-1727,Yes,,,Wiley
BJOG: An International Journal of Obstetrics and Gynaecology,1471-0528,Yes,,,Wiley
BJU International,1464-410X,Yes,,,Wiley
British Educational Research Journal,1469-3518,Yes,,,Wiley
British Journal of Clinical Pharmacology,1365-2125,Yes,,,Wiley
British Journal of Clinical Psychology,2044-8260,Yes,,,Wiley
British Journal of Dermatology,1365-2133,Yes,,,Wiley
British Journal of Developmental Psychology,2044-835X,Yes,,,Wiley
British Journal of Education Psychology,2044-8279,Yes,,,Wiley
British Journal of Educational Technology,1467-8535,Yes,,,Wiley
British Journal of Haematology,1365-2141,Yes,,,Wiley
British Journal of Health Psychology,2044-8287,Yes,,,Wiley
British Journal of Industrial Relations,1467-8543,Yes,,,Wiley
British Journal of Learning Disabilities,1468-3156,Yes,,,Wiley
British Journal of Management,1467-8551,Yes,,,Wiley
British Journal of Mathematical and Statistical Psychology,2044-8317,Yes,,,Wiley
British Journal of Pharmacology,1476-5381,Yes,,,Wiley
British Journal of Psychology,2044-8295,Yes,,,Wiley
British Journal of Psychotherapy,1752-0118,Yes,,,Wiley
British Journal of Radiology,1748-880X,Yes,,,Wiley
British Journal of Social Psychology,2044-8309,Yes,,,Wiley
British Journal of Special Education,1467-8578,Yes,,,Wiley
Bulletin of Economic Research,1467-8586,Yes,,,Wiley
Bulletin of Latin American Research,1470-9856,Yes,,,Wiley
Bulletin of the Korean Chemical Society,1229-5949,Yes,,,Wiley
Bulletin of the London Mathematical Society,1469-2120,Yes,,,Wiley
Business and Society Review,1467-8594,Yes,,,Wiley
Business Ethics: A European Review,2694-6424,Yes,,,Wiley
Business Strategy and Development,2572-3170,Yes,,,Wiley
Business Strategy and the Environment,1099-0836,Yes,,,Wiley
c/e papers,2509-7075,Yes,,,Wiley
Canadian Journal of Administrative Sciences/Revue Canadienne des Sciences de l'Administration,1936-4490,Yes,,,Wiley
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,1744-7976,Yes,,,Wiley
Canadian Journal of Economics/Revue canadienne d'economique,1540-5982,Yes,,,Wiley
Canadian Public Administration/AdministrationPublique du Canada,1754-7121,Yes,,,Wiley
Canadian Review of Sociology/Revue canadienne de sociologie,1755-618X,Yes,,,Wiley
Cancer,1097-0142,Yes,,,Wiley
Catheterization and Cardiovascular Interventions,1522-726X,Yes,,,Wiley
Cell Biochemistry & Function,1099-0844,Yes,,,Wiley
Cell Biology International,1095-8355,Yes,,,Wiley
Cereal Chemistry,1943-3638,Yes,,,Wiley
ChemBioChem,1439-7633,Yes,,,Wiley
ChemBioEng Reviews,2196-9744,Yes,,,Wiley
ChemCatChem,1867-3899,Yes,,,Wiley
ChemElectroChem,2196-0216,Yes,,,Wiley
Chemical Biology & Drug Design,1747-0285,Yes,,,Wiley
Chemical Engineering & Technology,1521-4125,Yes,,,Wiley
Chemie-Ingenieur-Technik (CIT),1522-2640,Yes,,,Wiley
Chemistry - A European Journal,1521-3765,Yes,,,Wiley
Chemistry - An Asian Journal,1861-471X,Yes,,,Wiley
Chemistry & Biodiversity,1612-1880,Yes,,,Wiley
ChemistrySelect,2365-6549,Yes,,,Wiley
ChemKon,1521-3730,Yes,,,Wiley
ChemMedChem,1860-7187,Yes,,,Wiley
CHEMNANOMAT,2199-692X,Yes,,,Wiley
ChemPhotoChem,2367-0932,Yes,,,Wiley
ChemPhysChem,1439-7641,Yes,,,Wiley
ChemPlusChem,2192-6506,Yes,,,Wiley
ChemSusChem,1864-564X,Yes,,,Wiley
ChemSystemsChem,2570-4206,Yes,,,Wiley
Child & Family Social Work,1365-2206,Yes,,,Wiley
Child Abuse Review,1099-0852,Yes,,,Wiley
Child and Adolescent Mental Health,1475-3588,Yes,,,Wiley
Child Development,1467-8624,Yes,,,Wiley
Child Development Perspectives,1750-8606,Yes,,,Wiley
"Child: Care, Health and Development",1365-2214,Yes,,,Wiley
Children & Society,1099-0860,Yes,,,Wiley
China & World Economy,1749-124X,Yes,,,Wiley
Chinese Journal of Chemistry,1614-7065,Yes,,,Wiley
Chinese Journal of Electronics,2075-5597,Yes,,,Wiley
Chirality,1520-636X,Yes,,,Wiley
City & Society,1548-744X,Yes,,,Wiley
Civil Engineering Design,2625-073X,Yes,,,Wiley
Cladistics,1096-0031,Yes,,,Wiley
"CLEAN – Soil, Air, Water",1863-0669,Yes,,,Wiley
Clinical & Experimental Allergy,1365-2222,Yes,,,Wiley
Clinical & Experimental Ophthalmology,1442-9071,Yes,,,Wiley
Clinical Anatomy,1098-2353,Yes,,,Wiley
Clinical and Experimental Dermatology,1365-2230,Yes,,,Wiley
Clinical and Experimental Neuroimmunology,1759-1961,Yes,,,Wiley
Clinical and Experimental Pharmacology and Physiology,1440-1681,Yes,,,Wiley
Clinical Genetics,1399-0004,Yes,,,Wiley
Clinical Implant Dentistry and Related Research,1708-8208,Yes,,,Wiley
Clinical Obesity,1758-8111,Yes,,,Wiley
Clinical Oral Implants Research,1600-0501,Yes,,,Wiley
Clinical Otolaryngology,1749-4486,Yes,,,Wiley
Clinical Pharmacology in Drug Development,2160-7648,Yes,,,Wiley
Clinical Physiology and Functional Imaging,1475-097X,Yes,,,Wiley
Clinical Psychology & Psychotherapy,1099-0879,Yes,,,Wiley
"Clinical Teacher, The",1743-498X,Yes,,,Wiley
Clinical Transplantation,1399-0012,Yes,,,Wiley
Cochrane Library* (Not eligible for APC coverage through a Transitional Deal),1465-1858,Yes,,,Wiley
Cognitive Science - A Multidisciplinary Journal,1551-6709,Yes,,,Wiley
Color Research and Application,1520-6378,Yes,,,Wiley
Coloration Technology,1478-4408,Yes,,,Wiley
Colorectal Disease,1463-1318,Yes,,,Wiley
Communications on Pure and Applied Mathematics,1097-0312,Yes,,,Wiley
Community Dentistry and Oral Epidemiology,1600-0528,Yes,,,Wiley
Comprehensive Reviews in Food Science and Food Safety,1541-4337,Yes,,,Wiley
Computational Intelligence,1467-8640,Yes,,,Wiley
Computer Animation & Virtual Worlds,1546-427X,Yes,,,Wiley
Computer Applications In Engineering Education,1099-0542,Yes,,,Wiley
Computer Graphics Forum,1467-8659,Yes,,,Wiley
Computer-Aided Civil and Infrastructure Engineering,1467-8667,Yes,,,Wiley
Concurrency and Computation: Practice and Experience,1532-0634,Yes,,,Wiley
Conflict Resolution Quarterly,1541-1508,Yes,,,Wiley
Congenital Anomalies,1741-4520,Yes,,,Wiley
Conservation Biology,1523-1739,Yes,,,Wiley
Constellations,1467-8675,Yes,,,Wiley
Consumer Psychology Review,2476-1281,Yes,,,Wiley
Contact Dermatitis,1600-0536,Yes,,,Wiley
Contemporary Accounting Research,1911-3846,Yes,,,Wiley
Contemporary Economic Policy,1465-7287,Yes,,,Wiley
Contributions to Plasma Physics,1521-3986,Yes,,,Wiley
Corporate Governance: An International Review,1467-8683,Yes,,,Wiley
Corporate Social Responsibility and EnvironmentalManagement,1535-3966,Yes,,,Wiley
Counselling and Psychotherapy Research,1746-1405,Yes,,,Wiley
Counselor Education and Supervision,1556-6978,Yes,,,Wiley
Creativity and Innovation Management,1467-8691,Yes,,,Wiley
Criminal Behaviour and Mental Health,1471-2857,Yes,,,Wiley
Criminology,1745-9125,Yes,,,Wiley
Criminology and Public Policy,1745-9133,Yes,,,Wiley
Critical Quarterly,1467-8705,Yes,,,Wiley
Crop Science ,1435-0653,Yes,,,Wiley
"Crop, Forage & Turfgrass Management",2374-3832,Yes,,,Wiley
Crops & Soils ,2325-3606,Yes,,,Wiley
Crystal Research & Technology,1521-4079,Yes,,,Wiley
CSA News ,2325-3584,Yes,,,Wiley
"Culture, Agriculture, Food and Environment",2153-9561,Yes,,,Wiley
Curator: The Museum Journal,2151-6952,Yes,,,Wiley
Current Protocols ,2691-1299,Yes,,,Wiley
Current Protocols Essential Laboratory Techniques,1948-3430,Yes,,,Wiley
Current Protocols in Bioinformatics,1934-340X,Yes,,,Wiley
Current Protocols in Cell Biology,1934-2616,Yes,,,Wiley
Current Protocols in Chemical Biology,2160-4762,Yes,,,Wiley
Current Protocols in Cytometry,1934-9300,Yes,,,Wiley
Current Protocols in Human Genetics,1934-8258,Yes,,,Wiley
Current Protocols in Immunology,1934-368X,Yes,,,Wiley
Current Protocols in Microbiology,1934-8533,Yes,,,Wiley
Current Protocols in Molecular Biology,1934-3647,Yes,,,Wiley
Current Protocols in Mouse Biology,2161-2617,Yes,,,Wiley
Current Protocols in Neuroscience,1934-8576,Yes,,,Wiley
Current Protocols in Nucleic Acid Chemistry,1934-9289,Yes,,,Wiley
Current Protocols in Pharmacology,1934-8290,Yes,,,Wiley
Current Protocols in Plant Biology,2379-8068,Yes,,,Wiley
Current Protocols in Protein Science,1934-3663,Yes,,,Wiley
Current Protocols in Stem Cell Biology,1938-8969,Yes,,,Wiley
Current Protocols in Toxicology,1934-9262,Yes,,,Wiley
Curtis's Botanical Magazine,1467-8748,Yes,,,Wiley
Cytopathology,1365-2303,Yes,,,Wiley
Cytoskeleton,1949-3592,Yes,,,Wiley
Decision Sciences,1540-5915,Yes,,,Wiley
Decision Sciences Journal of Innovative Education,1540-4609,Yes,,,Wiley
Dental Traumatology,1600-9657,Yes,,,Wiley
DentoMaxilloFacial Radiology,1476-542X,Yes,,,Wiley
Depression and Anxiety,1520-6394,Yes,,,Wiley
Dermatologic Therapy,1529-8019,Yes,,,Wiley
Dermatological Reviews,2637-7489,Yes,,,Wiley
Design Management Journal,1948-7177,Yes,,,Wiley
Design Management Review,1948-7169,Yes,,,Wiley
Developing World Bioethics,1471-8847,Yes,,,Wiley
Development and Change,1467-7660,Yes,,,Wiley
Development Policy Review,1467-7679,Yes,,,Wiley
Developmental Dynamics,1097-0177,Yes,,,Wiley
Developmental Medicine & Child Neurology,1469-8749,Yes,,,Wiley
Developmental Neurobiology,1932-846X,Yes,,,Wiley
Developmental Psychobiology,1098-2302,Yes,,,Wiley
Developmental Science,1467-7687,Yes,,,Wiley
"Diabetes, Obesity and Metabolism",1463-1326,Yes,,,Wiley
Diabetes/Metabolism Research and Reviews,1520-7560,Yes,,,Wiley
Diabetic Medicine,1464-5491,Yes,,,Wiley
Diagnostic Cytopathology,1097-0339,Yes,,,Wiley
Dialog,1540-6385,Yes,,,Wiley
Die Unterrichtspraxis/Teaching German,1756-1221,Yes,,,Wiley
Digest of Middle East Studies,1949-3606,Yes,,,Wiley
Digestive Endoscopy,1443-1661,Yes,,,Wiley
Disasters,1467-7717,Yes,,,Wiley
Drug and Alcohol Review,1465-3362,Yes,,,Wiley
Drug Development Research,1098-2299,Yes,,,Wiley
Drug Testing and Analysis,1942-7611,Yes,,,Wiley
Dyslexia,1099-0909,Yes,,,Wiley
Early Intervention in Psychiatry,1751-7893,Yes,,,Wiley
Early Medieval Europe,1468-0254,Yes,,,Wiley
Earth Surface Processes and Landforms,1096-9837,Yes,,,Wiley
Earthquake Engineering & Structural Dynamics,1096-9845,Yes,,,Wiley
Earthquake Engineering and Resilience,2770-5706,Yes,,,Wiley
Echocardiography,1540-8175,Yes,,,Wiley
Ecohydrology,1936-0592,Yes,,,Wiley
Ecological Entomology,1365-2311,Yes,,,Wiley
Ecological Management & Restoration,1442-8903,Yes,,,Wiley
Ecological Research,1440-1703,Yes,,,Wiley
Ecology Letters,1461-0248,Yes,,,Wiley
Ecology of Freshwater Fish,1600-0633,Yes,,,Wiley
Econometrica,1468-0262,Yes,,,Wiley
Economic Affairs,1468-0270,Yes,,,Wiley
Economic Anthropology,2330-4847,Yes,,,Wiley
Economic Inquiry,1465-7295,Yes,,,Wiley
Economic Notes,1468-0300,Yes,,,Wiley
Economic Papers,1759-3441,Yes,,,Wiley
Economic Record,1475-4932,Yes,,,Wiley
Economica ,1468-0335,Yes,,,Wiley
Economics & Politics,1468-0343,Yes,,,Wiley
Economics of Transition and Institutional Change,2577-6983,Yes,,,Wiley
Educational Measurement: Issues and Practices,1745-3992,Yes,,,Wiley
Educational Theory,1741-5446,Yes,,,Wiley
Electrical Engineering in Japan,1520-6416,Yes,,,Wiley
Electroanalysis,1521-4109,Yes,,,Wiley
Electronics and Communications in Japan ,1942-9541,Yes,,,Wiley
ELECTROPHORESIS,1522-2683,Yes,,,Wiley
EMBO Reports,1469-3178,Yes,,,Wiley
Emergency Medicine Australasia,1742-6723,Yes,,,Wiley
Energy Storage,2578-4862,Yes,,,Wiley
Energy Technology,2194-4296,Yes,,,Wiley
Entomologia Experimentalis et Applicata,1570-7458,Yes,,,Wiley
Entomological Research,1748-5967,Yes,,,Wiley
Environmental and Molecular Mutagenesis,1098-2280,Yes,,,Wiley
Environmental Microbiology,1462-2920,Yes,,,Wiley
Environmental Microbiology Reports,1758-2229,Yes,,,Wiley
Environmental Policy and Governance,1756-9338,Yes,,,Wiley
Environmental Progress & Sustainable Energy,1944-7450,Yes,,,Wiley
Environmental Quality Management,1520-6483,Yes,,,Wiley
Environmental Toxicology,1522-7278,Yes,,,Wiley
Environmetrics,1099-095X,Yes,,,Wiley
Epilepsia,1528-1167,Yes,,,Wiley
EPPO Bulletin,1365-2338,Yes,,,Wiley
Equine Veterinary Education,2042-3292,Yes,,,Wiley
Equine Veterinary Journal,2042-3306,Yes,,,Wiley
Ethics & Human Research,2578-2363,Yes,,,Wiley
Ethology,1439-0310,Yes,,,Wiley
Ethos,1548-1352,Yes,,,Wiley
EuroChoices,1746-692X,Yes,,,Wiley
European Eating Disorders Review,1099-0968,Yes,,,Wiley
European Financial Management,1468-036X,Yes,,,Wiley
European Journal of Cancer Care,1365-2354,Yes,,,Wiley
European Journal of Clinical Investigation,1365-2362,Yes,,,Wiley
European Journal of Dental Education,1600-0579,Yes,,,Wiley
European Journal of Education,1465-3435,Yes,,,Wiley
European Journal of Haematology,1600-0609,Yes,,,Wiley
European Journal of Heart Failure,1879-0844,Yes,,,Wiley
European Journal of Immunology,1521-4141,Yes,,,Wiley
European Journal of Inorganic Chemistry,1099-0682,Yes,,,Wiley
European Journal of Lipid Science and Technology,1438-9312,Yes,,,Wiley
European Journal of Neurology,1468-1331,Yes,,,Wiley
European Journal of Neuroscience,1460-9568,Yes,,,Wiley
European Journal of Oral Sciences,1600-0722,Yes,,,Wiley
European Journal of Organic Chemistry,1099-0690,Yes,,,Wiley
European Journal of Pain,1532-2149,Yes,,,Wiley
European Journal of Philosophy,1468-0378,Yes,,,Wiley
European Journal of Political Research,1475-6765,Yes,,,Wiley
European Journal of Political Research Political Data Yearbook,2047-8852,Yes,,,Wiley
European Journal of Social Psychology,1099-0992,Yes,,,Wiley
European Journal of Soil Science,1365-2389,Yes,,,Wiley
European Law Journal,1468-0386,Yes,,,Wiley
European Management Review,1740-4762,Yes,,,Wiley
European Policy Analysis,2380-6567,Yes,,,Wiley
Evolution & Development,1525-142X,Yes,,,Wiley
Evolutionary Anthropology,1520-6505,Yes,,,Wiley
Experimental Dermatology,1600-0625,Yes,,,Wiley
Experimental Physiology,1469-445X,Yes,,,Wiley
Expert Systems,1468-0394,Yes,,,Wiley
Family & Consumer Sciences Research Journal,1552-3934,Yes,,,Wiley
Family Court Review,1744-1617,Yes,,,Wiley
Family Process,1545-5300,Yes,,,Wiley
Family Relations,1741-3729,Yes,,,Wiley
Fatigue & Fracture of Engineering Materials & Structures,1460-2695,Yes,,,Wiley
FEBS Letters,1873-3468,Yes,,,Wiley
Feddes Repertorium,1522-239X,Yes,,,Wiley
Feminist Anthropology,2643-7961,Yes,,,Wiley
