Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Knowledge and Process Management,1099-1441,Yes,,,Wiley
Kyklos,1467-6435,Yes,,,Wiley
LABOUR,1467-9914,Yes,,,Wiley
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",1440-1770,Yes,,,Wiley
Land Degradation and Development,1099-145X,Yes,,,Wiley
Language & Linguistics Compass,1749-818X,Yes,,,Wiley
Language Learning,1467-9922,Yes,,,Wiley
Laser & Photonics Reviews,1863-8899,Yes,,,Wiley
Lasers in Surgery and Medicine,1096-9101,Yes,,,Wiley
Latin American Policy,2041-7373,Yes,,,Wiley
Law & Policy,1467-9930,Yes,,,Wiley
Law & Society Review,1540-5893,Yes,,,Wiley
Leader to Leader,1531-5355,Yes,,,Wiley
Learning Disabilities Research & Practice,1540-5826,Yes,,,Wiley
Legal and Criminological Psychology,2044-8333,Yes,,,Wiley
Legislative Studies Quarterly,1939-9162,Yes,,,Wiley
Letters In Applied Microbiology,1472-765X,Yes,,,Wiley
Lipids,1558-9307,Yes,,,Wiley
Literacy,1741-4369,Yes,,,Wiley
Literature Compass,1741-4113,Yes,,,Wiley
Liver International,1478-3231,Yes,,,Wiley
Liver Transplantation,1527-6473,Yes,,,Wiley
Lubrication Science,1557-6833,Yes,,,Wiley
Luminescence: The Journal of Biological and Chemical Luminescence,1522-7243,Yes,,,Wiley
LUTS,1757-5672,Yes,,,Wiley
Macromolecular Bioscience,1616-5195,Yes,,,Wiley
Macromolecular Chemistry and Physics,1521-3935,Yes,,,Wiley
Macromolecular Materials and Engineering,1439-2054,Yes,,,Wiley
Macromolecular Rapid Communications,1521-3927,Yes,,,Wiley
Macromolecular Reaction Engineering,1862-8338,Yes,,,Wiley
Macromolecular Symposia,1521-3900,Yes,,,Wiley
Macromolecular Theory and Simulations,1521-3919,Yes,,,Wiley
Magnetic Resonance in Chemistry,1097-458X,Yes,,,Wiley
Mammal Review,1365-2907,Yes,,,Wiley
Managerial and Decision Economics,1099-1468,Yes,,,Wiley
Marine Ecology,1439-0485,Yes,,,Wiley
Marine Mammal Science,1748-7692,Yes,,,Wiley
Mass Spectrometry Reviews,1098-2787,Yes,,,Wiley
Materials and Corrosion,1521-4176,Yes,,,Wiley
Materialwissenschaft und Werkstofftechnik,1521-4052,Yes,,,Wiley
Mathematical Finance,1467-9965,Yes,,,Wiley
Mathematical Logic Quarterly,1521-3870,Yes,,,Wiley
Mathematical Methods in the Applied Sciences,1099-1476,Yes,,,Wiley
Mathematika,2041-7942,Yes,,,Wiley
Mathematische Nachrichten,1522-2616,Yes,,,Wiley
Medical and Veterinary Entomology,1365-2915,Yes,,,Wiley
Medical Anthropology Quarterly,1548-1387,Yes,,,Wiley
Medical Education,1365-2923,Yes,,,Wiley
Medical Journal of Australia,1326-5377,Yes,,,Wiley
Medical Physics,2473-4209,Yes,,,Wiley
Medicinal Research Reviews,1098-1128,Yes,,,Wiley
Metaphilosophy,1467-9973,Yes,,,Wiley
Meteoritics & Planetary Science,1945-5100,Yes,,,Wiley
Metroeconomica,1467-999X,Yes,,,Wiley
Microcirculation,1549-8719,Yes,,,Wiley
Microscopy Research and Technique,1097-0029,Yes,,,Wiley
Microsurgery,1098-2752,Yes,,,Wiley
Microwave and Optical Technology Letters,1098-2760,Yes,,,Wiley
Middle East Policy,1475-4967,Yes,,,Wiley
Milton Quarterly,1094-348X,Yes,,,Wiley
Mind & Language,1468-0017,Yes,,,Wiley
"Mind, Brain, and Education",1751-228X,Yes,,,Wiley
Modern Law Review,1468-2230,Yes,,,Wiley
Modern Theology,1468-0025,Yes,,,Wiley
Molecular Carcinogenesis,1098-2744,Yes,,,Wiley
Molecular Ecology,1365-294X,Yes,,,Wiley
Molecular Ecology Resources,1755-0998,Yes,,,Wiley
Molecular Informatics,1868-1751,Yes,,,Wiley
Molecular Microbiology,1365-2958,Yes,,,Wiley
Molecular Nutrition & Food Research,1613-4133,Yes,,,Wiley
Molecular Oral Microbiology,2041-1014,Yes,,,Wiley
Molecular Reproduction & Development,1098-2795,Yes,,,Wiley
Monographs of the Society for Research in Child Development,1540-5834,Yes,,,Wiley
Movement Disorders,1531-8257,Yes,,,Wiley
Movement Disorders Clinical Practice(Electronic),2330-1619,Yes,,,Wiley
Muscle & Nerve,1097-4598,Yes,,,Wiley
Musculoskeletal Care,1557-0681,Yes,,,Wiley
Museum Anthropology,1548-1379,Yes,,,Wiley
Music Analysis,1468-2249,Yes,,,Wiley
Mycoses,1439-0507,Yes,,,Wiley
Nations and Nationalism,1469-8129,Yes,,,Wiley
Natural Resources Forum,1477-8947,Yes,,,Wiley
Natural Sciences Education,2168-8281,Yes,,,Wiley
Naval Research Logistics,1520-6750,Yes,,,Wiley
Near Surface Geophysics,1873-0604,Yes,,,Wiley
Negotiation Journal,1571-9979,Yes,,,Wiley
Nephrology,1440-1797,Yes,,,Wiley
Networks,1097-0037,Yes,,,Wiley
Neurogastroenterology & Motility,1365-2982,Yes,,,Wiley
Neurology and Clinical Neuroscience,2049-4173,Yes,,,Wiley
Neuropathology,1440-1789,Yes,,,Wiley
Neuropathology and Applied Neurobiology,1365-2990,Yes,,,Wiley
Neurourology and Urodynamics,1520-6777,Yes,,,Wiley
New Blackfriars,1741-2005,Yes,,,Wiley
New Directions for Adult and Continuing Education,1536-0717,Yes,,,Wiley
New Directions for Child and Adolescent Development,1534-8687,Yes,,,Wiley
New Directions for Community Colleges,1536-0733,Yes,,,Wiley
New Directions for Evaluation,1534-875X,Yes,,,Wiley
New Directions for Higher Education,1536-0741,Yes,,,Wiley
New Directions for Student Leadership,2373-3357,Yes,,,Wiley
New Directions for Student Services,1536-0695,Yes,,,Wiley
New Directions for Teaching and Learning,1536-0768,Yes,,,Wiley
New Phytologist,1469-8137,Yes,,,Wiley
"New Technology, Work and Employment",1468-005X,Yes,,,Wiley
New Zealand Geographer,1745-7939,Yes,,,Wiley
NMR in Biomedicine,1099-1492,Yes,,,Wiley
Nonprofit Management and Leadership,1542-7854,Yes,,,Wiley
Nordic Journal of Botany,1756-1051,Yes,,,Wiley
North American Journal of Aquaculture,1548-8454,Yes,,,Wiley
North American Journal of Fisheries Management,1548-8675,Yes,,,Wiley
Nous,1468-0068,Yes,,,Wiley
Numerical Linear Algebra With Applications,1099-1506,Yes,,,Wiley
Numerical Methods for Partial Differential Equations,1098-2426,Yes,,,Wiley
Nursing & Health Sciences,1442-2018,Yes,,,Wiley
Nursing Forum,1744-6198,Yes,,,Wiley
Nursing In Critical Care,1478-5153,Yes,,,Wiley
Nursing Inquiry,1440-1800,Yes,,,Wiley
Nursing Philosophy,1466-769X,Yes,,,Wiley
Nutrition & Dietetics,1747-0080,Yes,,,Wiley
Nutrition Bulletin,1467-3010,Yes,,,Wiley
Obesity,1930-739X,Yes,,,Wiley
Obesity Reviews,1467-789X,Yes,,,Wiley
Oceania,1834-4461,Yes,,,Wiley
Oikos,1600-0706,Yes,,,Wiley
OPEC Energy Review,1753-0237,Yes,,,Wiley
Ophthalmic and Physiological Optics,1475-1313,Yes,,,Wiley
Optimal Control Applications and Methods,1099-1514,Yes,,,Wiley
Oral Diseases,1601-0825,Yes,,,Wiley
Oral Science International,1881-4204,Yes,,,Wiley
Oral Surgery,1752-248X,Yes,,,Wiley
Orbis Litterarum,1600-0730,Yes,,,Wiley
Orthodontics & Craniofacial Research,1601-6343,Yes,,,Wiley
Oxford Bulletin of Economics and Statistics,1468-0084,Yes,,,Wiley
Oxford Journal of Archaeology,1468-0092,Yes,,,Wiley
Pacific Economic Review,1468-0106,Yes,,,Wiley
Pacific Focus,1976-5118,Yes,,,Wiley
Pacific Philosophical Quarterly,1468-0114,Yes,,,Wiley
Pacing and Clinical Electrophysiology,1540-8159,Yes,,,Wiley
Packaging Technology and Science,1099-1522,Yes,,,Wiley
Paediatric and Perinatal Epidemiology,1365-3016,Yes,,,Wiley
Pain Practice,1533-2500,Yes,,,Wiley
Palaeontology,1475-4983,Yes,,,Wiley
Paleoceanography and Paleoclimatology,2572-4525,Yes,,,Wiley
Papers in Palaeontology,2056-2802,Yes,,,Wiley
Parasite Immunology,1365-3024,Yes,,,Wiley
Parliamentary History,1750-0206,Yes,,,Wiley
Particle & Particle Systems Characterization,1521-4117,Yes,,,Wiley
Pathology International,1440-1827,Yes,,,Wiley
Peace & Change,1468-0130,Yes,,,Wiley
Pediatric Allergy and Immunology,1399-3038,Yes,,,Wiley
Pediatric Anesthesia,1460-9592,Yes,,,Wiley
Pediatric Blood & Cancer,1545-5017,Yes,,,Wiley
Pediatric Dermatology,1525-1470,Yes,,,Wiley
Pediatric Diabetes,1399-5448,Yes,,,Wiley
Pediatric Obesity,2047-6310,Yes,,,Wiley
Pediatric Pulmonology,1099-0496,Yes,,,Wiley
Pediatric Transplantation,1399-3046,Yes,,,Wiley
Pediatrics International,1442-200X,Yes,,,Wiley
Peptide Science,2475-8817,Yes,,,Wiley
Periodontology 2000,1600-0757,Yes,,,Wiley
Permafrost and Periglacial Processes,1099-1530,Yes,,,Wiley
Personal Relationships,1475-6811,Yes,,,Wiley
Personality and Mental Health,1932-863X,Yes,,,Wiley
Personnel Psychology,1744-6570,Yes,,,Wiley
Perspectives In Psychiatric Care,1744-6163,Yes,,,Wiley
Perspectives On Sexual and Reproductive Health,1931-2393,Yes,,,Wiley
Pest Management Science,1526-4998,Yes,,,Wiley
Pharmaceutical Statistics,1539-1612,Yes,,,Wiley
Pharmacoepidemiology and Drug Safety,1099-1557,Yes,,,Wiley
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,1875-9114,Yes,,,Wiley
Philosophical Forum,1467-9191,Yes,,,Wiley
Philosophical Investigations,1467-9205,Yes,,,Wiley
Philosophical Issues,1758-2237,Yes,,,Wiley
Philosophical Perspectives,1520-8583,Yes,,,Wiley
Philosophy & Public Affairs,1088-4963,Yes,,,Wiley
Philosophy and Phenomenological Research,1933-1592,Yes,,,Wiley
Philosophy Compass,1747-9991,Yes,,,Wiley
Photochemistry and Photobiology,1751-1097,Yes,,,Wiley
"Photodermatology, Photoimmunology & Photomedicine",1600-0781,Yes,,,Wiley
Phycological Research,1440-1835,Yes,,,Wiley
physica status solidi (a) applications and materials science,1862-6319,Yes,,,Wiley
physica status solidi (b) basic solid state physics,1521-3951,Yes,,,Wiley
physica status solidi (RRL) rapid research letters,1862-6270,Yes,,,Wiley
Physik in unserer Zeit,1521-3943,Yes,,,Wiley
Physiological Entomology,1365-3032,Yes,,,Wiley
Physiotherapy Research International,1471-2865,Yes,,,Wiley
Phytochemical Analysis,1099-1565,Yes,,,Wiley
Phytotherapy Research,1099-1573,Yes,,,Wiley
Pigment Cell & Melanoma Research,1755-148X,Yes,,,Wiley
Plant Biology,1438-8677,Yes,,,Wiley
Plant Breeding,1439-0523,Yes,,,Wiley
Plant Pathology,1365-3059,Yes,,,Wiley
Plant Species Biology,1442-1984,Yes,,,Wiley
"Plant, Cell & Environment",1365-3040,Yes,,,Wiley
Plasma Processes and Polymers,1612-8869,Yes,,,Wiley
PM&R ,1934-1563,Yes,,,Wiley
PoLAR: Political and Legal Anthropology Review,1555-2934,Yes,,,Wiley
Policy & Internet (Electronic),1944-2866,Yes,,,Wiley
Policy Studies Journal,1541-0072,Yes,,,Wiley
Political Psychology,1467-9221,Yes,,,Wiley
Political Science Quarterly,1538-165X,Yes,,,Wiley
Politics & Policy,1747-1346,Yes,,,Wiley
Polymer Composites,1548-0569,Yes,,,Wiley
Polymer Engineering & Science,1548-2634,Yes,,,Wiley
Polymer International,1097-0126,Yes,,,Wiley
Polymers for Advanced Technologies,1099-1581,Yes,,,Wiley
Population and Development Review,1728-4457,Yes,,,Wiley
Population Ecology,1438-390X,Yes,,,Wiley
"Population, Space and Place",1544-8452,Yes,,,Wiley
Poverty & Public Policy (Electronic),1944-2858,Yes,,,Wiley
Prenatal Diagnosis,1097-0223,Yes,,,Wiley
Presidential Studies Quarterly,1741-5705,Yes,,,Wiley
Proceedings in Applied Mathematics & Mechanics,1617-7061,Yes,,,Wiley
Proceedings of the London Mathematical Society,1460-244X,Yes,,,Wiley
Process Safety Progress,1547-5913,Yes,,,Wiley
Production and Operations Management,1937-5956,Yes,,,Wiley
Progress in Photovoltaics: Research and Applications,1099-159X,Yes,,,Wiley
"Propellants, Explosives, Pyrotechnics",1521-4087,Yes,,,Wiley
"Proteins: Structure, Function, and Bioinformatics",1097-0134,Yes,,,Wiley
Proteomics,1615-9861,Yes,,,Wiley
PROTEOMICS - Clinical Applications,1862-8354,Yes,,,Wiley
PsyCh Journal,2046-0260,Yes,,,Wiley
Psychogeriatrics,1479-8301,Yes,,,Wiley
Psychology & Marketing,1520-6793,Yes,,,Wiley
"Psychology and Psychotherapy: Theory, Research and Practice",2044-8341,Yes,,,Wiley
Psychology in the Schools,1520-6807,Yes,,,Wiley
Psycho-Oncology,1099-1611,Yes,,,Wiley
Public Administration,1467-9299,Yes,,,Wiley
Public Administration and Development,1099-162X,Yes,,,Wiley
Public Administration Review,1540-6210,Yes,,,Wiley
Public Budgeting & Finance,1540-5850,Yes,,,Wiley
Public Health Nursing,1525-1446,Yes,,,Wiley
Quality and Reliability Engineering International,1099-1638,Yes,,,Wiley
R&D Management,1467-9310,Yes,,,Wiley
Radio Science,1944-799X,Yes,,,Wiley
Random Structures & Algorithms,1098-2418,Yes,,,Wiley
Rapid Communications in Mass Spectrometry,1097-0231,Yes,,,Wiley
Ratio,1467-9329,Yes,,,Wiley
Ratio Juris,1467-9337,Yes,,,Wiley
Reading Research Quarterly,1936-2722,Yes,,,Wiley
Real Estate Economics,1540-6229,Yes,,,Wiley
Regulation & Governance,1748-5991,Yes,,,Wiley
Religion Compass,1749-8171,Yes,,,Wiley
Religious Studies Review,1748-0922,Yes,,,Wiley
Remediation,1520-6831,Yes,,,Wiley
Renaissance Studies,1477-4658,Yes,,,Wiley
Reproduction in Domestic Animals,1439-0531,Yes,,,Wiley
Research in Nursing & Health,1098-240X,Yes,,,Wiley
Research Synthesis Methods,1759-2887,Yes,,,Wiley
Restoration Ecology,1526-100X,Yes,,,Wiley
Review of Development Economics,1467-9361,Yes,,,Wiley
Review of Education,2049-6613,Yes,,,Wiley
"Review of European, Comparative & International Environmental Law",2050-0394,Yes,,,Wiley
Review of Financial Economics,1873-5924,Yes,,,Wiley
Review of Income and Wealth,1475-4991,Yes,,,Wiley
Review of International Economics,1467-9396,Yes,,,Wiley
Review of Policy Research,1541-1338,Yes,,,Wiley
Reviews in Aquaculture,1753-5131,Yes,,,Wiley
Reviews in Medical Virology,1099-1654,Yes,,,Wiley
Reviews in Religion & Theology,1467-9418,Yes,,,Wiley
Reviews of Geophysics,1944-9208,Yes,,,Wiley
Revista Internacional del Trabajo,1564-9148,Yes,,,Wiley
Revue internationale du Travail,1564-9121,Yes,,,Wiley
Risk Analysis,1539-6924,Yes,,,Wiley
Risk Management and Insurance Review,1540-6296,Yes,,,Wiley
"Risk, Hazards & Crisis in Public Policy(Electronic)",1944-4079,Yes,,,Wiley
River Research and Applications,1535-1467,Yes,,,Wiley
Rural Sociology,1549-0831,Yes,,,Wiley
Scandinavian Journal of Caring Sciences,1471-6712,Yes,,,Wiley
Scandinavian Journal of Immunology,1365-3083,Yes,,,Wiley
Scandinavian Journal of Medicine & Science in Sports,1600-0838,Yes,,,Wiley
Scandinavian Journal of Psychology,1467-9450,Yes,,,Wiley
Scandinavian Journal of Statistics,1467-9469,Yes,,,Wiley
Scandinavian Political Studies,1467-9477,Yes,,,Wiley
School Science and Mathematics,1949-8594,Yes,,,Wiley
Science Education,1098-237X,Yes,,,Wiley
Scottish Journal of Political Economy,1467-9485,Yes,,,Wiley
Security and Privacy,2475-6725,Yes,,,Wiley
Sedimentology,1365-3091,Yes,,,Wiley
Seminars in Dialysis,1525-139X,Yes,,,Wiley
Separation Science Plus,2573-1815,Yes,,,Wiley
"Sexuality, Gender & Policy",2639-5355,Yes,,,Wiley
Significance,1740-9713,Yes,,,Wiley
Singapore Journal of Tropical Geography,1467-9493,Yes,,,Wiley
Small,1613-6829,Yes,,,Wiley
Small Methods,2366-9608,Yes,,,Wiley
Small Structures ,2688-4062,Yes,,,Wiley
Social and Personality Psychology Compass,1751-9004,Yes,,,Wiley
Social Development,1467-9507,Yes,,,Wiley
Social Issues and Policy Review,1751-2409,Yes,,,Wiley
Social Policy & Administration,1467-9515,Yes,,,Wiley
Social Science Quarterly,1540-6237,Yes,,,Wiley
Sociologia Ruralis,1467-9523,Yes,,,Wiley
Sociological Forum,1573-7861,Yes,,,Wiley
Sociological Inquiry,1475-682X,Yes,,,Wiley
Sociology Compass,1751-9020,Yes,,,Wiley
Sociology of Health & Illness,1467-9566,Yes,,,Wiley
"Software Testing, Verification & Reliability",1099-1689,Yes,,,Wiley
Software: Practice and Experience,1097-024X,Yes,,,Wiley
Soil Science Society of America Journal ,1435-0661,Yes,,,Wiley
Soil Use and Management,1475-2743,Yes,,,Wiley
Solar RRL,2367-198X,Yes,,,Wiley
Sonography,2054-6750,Yes,,,Wiley
Southern Economic Journal,2325-8012,Yes,,,Wiley
Special Care in Dentistry,1754-4505,Yes,,,Wiley
Starch,1521-379X,Yes,,,Wiley
Stat,2049-1573,Yes,,,Wiley
Statistica Neerlandica,1467-9574,Yes,,,Wiley
Statistical Analysis and Data Mining,1932-1872,Yes,,,Wiley
Statistics in Medicine,1097-0258,Yes,,,Wiley
Steel Construction: Design and Research,1867-0539,Yes,,,Wiley
Steel Research International,1869-344X,Yes,,,Wiley
Strain,1475-1305,Yes,,,Wiley
Strategic Change: Briefings in EntrepreneurialFinance,1099-1697,Yes,,,Wiley
Strategic Entrepreneurship Journal,1932-443X,Yes,,,Wiley
Strategic Management Journal,1097-0266,Yes,,,Wiley
Stress and Health,1532-2998,Yes,,,Wiley
Structural Concrete,1751-7648,Yes,,,Wiley
Structural Control and Health Monitoring,1545-2263,Yes,,,Wiley
Studia Linguistica,1467-9582,Yes,,,Wiley
Studies in Applied Mathematics,1467-9590,Yes,,,Wiley
Studies In Ethnicity and Nationalism,1754-9469,Yes,,,Wiley
Studies in Family Planning,1728-4465,Yes,,,Wiley
Suicide and Life-Threatening Behavior,1943-278X,Yes,,,Wiley
Support for Learning,1467-9604,Yes,,,Wiley
Surface and Interface Analysis,1096-9918,Yes,,,Wiley
Surgical Practice,1744-1633,Yes,,,Wiley
Sustainable Development,1099-1719,Yes,,,Wiley
Swiss Political Science Review,1662-6370,Yes,,,Wiley
Symbolic Interaction,1533-8665,Yes,,,Wiley
Synapse,1098-2396,Yes,,,Wiley
Syntax,1467-9612,Yes,,,Wiley
Systematic Entomology,1365-3113,Yes,,,Wiley
Systems Engineering,1520-6858,Yes,,,Wiley
Systems Research and Behavioral Science,1099-1743,Yes,,,Wiley
Teaching Statistics,1467-9639,Yes,,,Wiley
Teaching Theology & Religion,1467-9647,Yes,,,Wiley
Tectonics,1944-9194,Yes,,,Wiley
Terra Nova,1365-3121,Yes,,,Wiley
TESOL Journal,1949-3533,Yes,,,Wiley
TESOL Quarterly,1545-7249,Yes,,,Wiley
The American Journal of Economics and Sociology,1536-7150,Yes,,,Wiley
The American Journal on Addictions,1521-0391,Yes,,,Wiley
The Anatomical Record,1932-8494,Yes,,,Wiley
The Australian Economic Review,1467-8462,Yes,,,Wiley
The Australian Journal of Agricultural and Resource Economics,1467-8489,Yes,,,Wiley
The Australian Journal of Anthropology,1757-6547,Yes,,,Wiley
The British Journal of Sociology,1468-4446,Yes,,,Wiley
The Canadian Geographer/Le Geographe Canadien,1541-0064,Yes,,,Wiley
The Canadian Journal of Chemical Engineering,1939-019X,Yes,,,Wiley
The Canadian Journal of Statistics/La revue canadienne de statistique,1708-945X,Yes,,,Wiley
The Career Development Quarterly,2161-0045,Yes,,,Wiley
The Chemical Record,1528-0691,Yes,,,Wiley
The Curriculum Journal,1469-3704,Yes,,,Wiley
The Developing Economies,1746-1049,Yes,,,Wiley
The Economic History Review,1468-0289,Yes,,,Wiley
The Ecumenical Review,1758-6623,Yes,,,Wiley
The Electronic Journal of Information Systems in Developing Countries,1681-4835,Yes,,,Wiley
The EMBO Journal,1460-2075,Yes,,,Wiley
The FASEB Journal ,1530-6860,Yes,,,Wiley
The FEBS Journal,1742-4658,Yes,,,Wiley
The Financial Review,1540-6288,Yes,,,Wiley
The Geographical Journal,1475-4959,Yes,,,Wiley
The German Quarterly,1756-1183,Yes,,,Wiley
The Heythrop Journal,1468-2265,Yes,,,Wiley
The Howard Journal of Crime and Justice,2059-1101,Yes,,,Wiley
The International Journal of Health Planning and Management,1099-1751,Yes,,,Wiley
The International Journal of Medical Robotics and Computer Assisted Surgery,1478-596X,Yes,,,Wiley
The Journal of American Culture,1542-734X,Yes,,,Wiley
The Journal of Comparative Neurology,1096-9861,Yes,,,Wiley
The Journal of Creative Behavior,2162-6057,Yes,,,Wiley
The Journal of Dermatology,1346-8138,Yes,,,Wiley
The Journal of Finance,1540-6261,Yes,,,Wiley
The Journal of Financial Research,1475-6803,Yes,,,Wiley
The Journal of Futures Markets,1096-9934,Yes,,,Wiley
The Journal of Gene Medicine,1521-2254,Yes,,,Wiley
The Journal of Humanistic Counseling,2161-1939,Yes,,,Wiley
The Journal of Industrial Economics,1467-6451,Yes,,,Wiley
The Journal of Pathology,1096-9896,Yes,,,Wiley
The Journal of Physiology,1469-7793,Yes,,,Wiley
The Journal of Political Philosophy,1467-9760,Yes,,,Wiley
The Journal of Popular Culture,1540-5931,Yes,,,Wiley
The Journal of Rural Health,1748-0361,Yes,,,Wiley
The Journal of Wildlife Management,1937-2817,Yes,,,Wiley
The Journal of World Intellectual Property,1747-1796,Yes,,,Wiley
The Laryngoscope,1531-4995,Yes,,,Wiley
The Manchester School,1467-9957,Yes,,,Wiley
The Milbank Quarterly,1468-0009,Yes,,,Wiley
The Modern Language Journal,1540-4781,Yes,,,Wiley
The Muslim World,1478-1913,Yes,,,Wiley
The Obstetrician & Gynaecologist,1744-4667,Yes,,,Wiley
The Photogrammetric Record,1477-9730,Yes,,,Wiley
The Political Quarterly,1467-923X,Yes,,,Wiley
The Prostate,1097-0045,Yes,,,Wiley
The RAND Journal of Economics,1756-2171,Yes,,,Wiley
The Reading Teacher,1936-2714,Yes,,,Wiley
The Russian Review,1467-9434,Yes,,,Wiley
The Scandinavian Journal of Economics,1467-9442,Yes,,,Wiley
The South African Journal of Economics,1813-6982,Yes,,,Wiley
The Southern Journal of Philosophy,2041-6962,Yes,,,Wiley
The Structural Design of Tall and Special Buildings,1541-7808,Yes,,,Wiley
The World Economy,1467-9701,Yes,,,Wiley
Theoria,1755-2567,Yes,,,Wiley
Therapeutic Apheresis and Dialysis,1744-9987,Yes,,,Wiley
Thunderbird International Business Review,1520-6874,Yes,,,Wiley
Tijdschrift voor Economische en Sociale Geografie,1467-9663,Yes,,,Wiley
Topics in Cognitive Science,1756-8765,Yes,,,Wiley
Traditional & Kampo Medicine,2053-4515,Yes,,,Wiley
Traffic,1600-0854,Yes,,,Wiley
Transactions in GIS,1467-9671,Yes,,,Wiley
Transactions of the American Fisheries Society,1548-8659,Yes,,,Wiley
Transactions of the Institute of British Geographers,1475-5661,Yes,,,Wiley
Transactions of the Philological Society,1467-968X,Yes,,,Wiley
Transactions on Emerging Telecommunications Technologies,2161-3915,Yes,,,Wiley
Transboundary and Emerging Diseases,1865-1682,Yes,,,Wiley
Transforming Anthropology,1548-7466,Yes,,,Wiley
Transfusion,1537-2995,Yes,,,Wiley
Transfusion Medicine,1365-3148,Yes,,,Wiley
Transplant Infectious Disease,1399-3062,Yes,,,Wiley
Tropical Medicine & International Health,1365-3156,Yes,,,Wiley
Ultrasound in Obstetrics & Gynecology,1469-0705,Yes,,,Wiley
Vakuum in Forschung und Praxis,1522-2454,Yes,,,Wiley
Veterinary and Comparative Oncology,1476-5829,Yes,,,Wiley
Veterinary Clinical Pathology,1939-165X,Yes,,,Wiley
Veterinary Dermatology,1365-3164,Yes,,,Wiley
Veterinary Ophthalmology,1463-5224,Yes,,,Wiley
Veterinary Radiology & Ultrasound,1740-8261,Yes,,,Wiley
Veterinary Record,2042-7670,Yes,,,Wiley
Veterinary Surgery,1532-950X,Yes,,,Wiley
Vietnam Journal of Chemistry,2572-8288,Yes,,,Wiley
Visual Anthropology Review,1548-7458,Yes,,,Wiley
Vox Sanguinis,1423-0410,Yes,,,Wiley
Water and Environment Journal,1747-6593,Yes,,,Wiley
Water Resources Research,1944-7973,Yes,,,Wiley
Weed Biology and Management,1445-6664,Yes,,,Wiley
Weed Research,1365-3180,Yes,,,Wiley
Wildlife Monographs,1938-5455,Yes,,,Wiley
Wildlife Society Bulletin,2328-5540,Yes,,,Wiley
Wiley Interdisciplinary Reviews - Cognitive Science,1939-5086,Yes,,,Wiley
Wiley Interdisciplinary Reviews - Nanomedicine and Nanobiotechnology,1939-0041,Yes,,,Wiley
Wiley Interdisciplinary Reviews: Computational Molecular Science,1759-0884,Yes,,,Wiley
Wiley Interdisciplinary Reviews: Computational Statistics,1939-0068,Yes,,,Wiley
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,1942-4795,Yes,,,Wiley
Wiley Interdisciplinary Reviews: Energy and Environment,2041-840X,Yes,,,Wiley
Wiley Interdisciplinary Reviews: Forensic Science,2573-9468,Yes,,,Wiley
Wiley Interdisciplinary Reviews: RNA,1757-7012,Yes,,,Wiley
Wiley Interdisciplinary Reviews: Water,2049-1948,Yes,,,Wiley
WIREs Climate Change,1757-7799,Yes,,,Wiley
WIREs Mechanisms of Disease,2692-9368,Yes,,,Wiley
World Englishes,1467-971X,Yes,,,Wiley
World Food Policy,2372-8639,Yes,,,Wiley
World Medical & Health Policy (Electronic),1948-4682,Yes,,,Wiley
World Water Policy,2639-541X,Yes,,,Wiley
Xenotransplantation,1399-3089,Yes,,,Wiley
X-Ray Spectrometry,1097-4539,Yes,,,Wiley
Yeast,1097-0061,Yes,,,Wiley
ZAMM - Journal of Applied Mathematics and Mechanics,1521-4001,Yes,,,Wiley
Zeitschrift für anorganische und allgemeine Chemie,1521-3749,Yes,,,Wiley
Zoo Biology,1098-2361,Yes,,,Wiley
Zoologica Scripta,1463-6409,Yes,,,Wiley
Zoonoses and Public Health,1863-2378,Yes,,,Wiley
Zygon Journal of Religion and Science,1467-9744,Yes,,,Wiley
