Journal,Issn,Included_in_R_P_Agreement,Publisher,full_title,journal_IF
Wiley Interdisciplinary Reviews: Computational Molecular Science,1759-0884,Yes,Wiley,Wiley Interdisciplinary Reviews Computational Molecular Science,25.113
Molecular Psychiatry,1476-5578,Yes,Springer Nature (Academic Journals on Nature.com),Molecular Psychiatry,15.992
Cellular & Molecular Immunology,2042-0226,Yes,Springer Nature (Academic Journals on Nature.com),Cellular and Molecular Immunology,11.53
Cellular and Molecular Life Sciences,1420-9071,Yes,Springer Nature (Springer),Cellular and Molecular Life Sciences,9.261
European Journal of Nuclear Medicine and Molecular Imaging,1619-7089,Yes,Springer Nature (Springer),European Journal of Nuclear Medicine and Molecular Imaging,9.236
Molecular Ecology Resources,1755-0998,Yes,Wiley,Molecular Ecology Resources,7.09
Molecular Ecology,1365-294X,Yes,Wiley,Molecular Ecology,6.185
Human Molecular Genetics,1460-2083,Yes,OUP,Human Molecular Genetics,6.15
Evolutionary Anthropology,1520-6505,Yes,Wiley,Evolutionary Anthropology,6.086
Molecular Nutrition & Food Research,1613-4133,Yes,Wiley,Molecular Nutrition and Food Research,5.914
Macromolecular Rapid Communications,1521-3927,Yes,Wiley,Macromolecular Rapid Communications,5.734
Expert Reviews in Molecular Medicine,1462-3994,Yes,CUP,Expert Reviews in Molecular Medicine,5.6
Molecular Neurobiology,1559-1182,Yes,Springer Nature (Springer),Molecular Neurobiology,5.59
Cellular and Molecular Neurobiology,1573-6830,Yes,Springer Nature (Springer),Cellular and Molecular Neurobiology,5.046
Macromolecular Bioscience,1616-5195,Yes,Wiley,Macromolecular Bioscience,4.979
Molecular Carcinogenesis,1098-2744,Yes,Wiley,Molecular Carcinogenesis,4.784
Macromolecular Materials and Engineering,1439-2054,Yes,Wiley,Macromolecular Materials and Engineering,4.367
Briefings in Functional Genomics,2041-2657,Yes,OUP,Briefings in Functional Genomics,4.241
Journal of Systematics and Evolution,1759-6831,Yes,Wiley,Journal of Systematics and Evolution,4.098
Plant Molecular Biology,1573-5028,Yes,Springer Nature (Springer),Plant Molecular Biology,4.076
Molecular Diagnosis & Therapy,1179-2000,Yes,Springer Nature (Adis),Molecular Diagnosis and Therapy,4.074
Coral Reefs,1432-0975,Yes,Springer Nature (Springer),Coral Reefs,3.902
Journal of Computer-Aided Molecular Design,1573-4951,Yes,Springer Nature (Springer),Journal of Computer Aided Molecular Design,3.686
Journal of Biochemical and Molecular Toxicology,1099-0461,Yes,Wiley,Journal of Biochemical and Molecular Toxicology,3.642
Marine Biotechnology,1436-2236,Yes,Springer Nature (Springer),Marine Biotechnology,3.619
ICES Journal of Marine Science,1095-9289,Yes,OUP,ICES Journal of Marine Science,3.593
Insect Molecular Biology,1365-2583,Yes,Wiley,Insect Molecular Biology,3.585
Molecular Oral Microbiology,2041-1014,Yes,Wiley,Molecular Oral Microbiology,3.563
Molecular Microbiology,1365-2958,Yes,Wiley,Molecular Microbiology,3.501
Molecular Imaging and Biology,1860-2002,Yes,Springer Nature (Springer),Molecular Imaging and Biology,3.488
Journal of Molecular Neuroscience,1559-1166,Yes,Springer Nature (Springer),Journal of Molecular Neuroscience,3.444
Functional & Integrative Genomics,1438-7948,Yes,Springer Nature (Springer),Functional and Integrative Genomics,3.41
Molecular and Cellular Biochemistry,1573-4919,Yes,Springer Nature (Springer),Molecular and Cellular Biochemistry,3.396
Molecular Informatics,1868-1751,Yes,Wiley,Molecular Informatics,3.353
Molecular Genetics and Genomics,1617-4623,Yes,Springer Nature (Springer),Molecular Genetics and Genomics,3.291
Environmental and Molecular Mutagenesis,1098-2280,Yes,Wiley,Environmental and Molecular Mutagenesis,3.216
Evolutionary Biology,1934-2845,Yes,Springer Nature (Springer),Evolutionary Biology,3.119
Molecular Diversity,1573-501X,Yes,Springer Nature (Springer),Molecular Diversity,2.943
Organisms Diversity & Evolution,1618-1077,Yes,Springer Nature (Springer),Organisms Diversity and Evolution,2.94
Journal of Biomolecular NMR,1573-5001,Yes,Springer Nature (Springer),Journal of Biomolecular Nmr,2.835
Aquatic Conservation: Marine and Freshwater Ecosystems,1099-0755,Yes,Wiley,Aquatic Conservation Marine and Freshwater Ecosystems,2.771
Evolutionary Ecology,1573-8477,Yes,Springer Nature (Springer),Evolutionary Ecology,2.717
Molecular Biotechnology,1559-0305,Yes,Springer Nature (Springer),Molecular Biotechnology,2.695
Marine Geophysical Research,1573-0581,Yes,Springer Nature (Springer),Marine Geophysical Research,2.693
Journal of Experimental Zoology Part B Molecular and Developmental Evolution,1552-5015,Yes,Wiley,Journal of Experimental Zoology Part b Molecular and Developmental Evolution,2.656
Journal of Mammalian Evolution,1573-7055,Yes,Springer Nature (Springer),Journal of Mammalian Evolution,2.611
Journal of Molecular Histology,1567-2387,Yes,Springer Nature (Springer),Journal of Molecular Histology,2.611
Molecular Reproduction & Development,1098-2795,Yes,Wiley,Molecular Reproduction and Development,2.609
Molecular Breeding,1572-9788,Yes,Springer Nature (Springer),Molecular Breeding,2.589
Marine Biology,1432-1793,Yes,Springer Nature (Springer),Marine Biology,2.573
Macromolecular Chemistry and Physics,1521-3935,Yes,Wiley,Macromolecular Chemistry and Physics,2.527
Journal of Molecular Evolution,1432-1432,Yes,Springer Nature (Springer),Journal of Molecular Evolution,2.395
Physiology and Molecular Biology of Plants,0974-0430,Yes,Springer Nature (Springer),Physiology and Molecular Biology of Plants,2.391
Journal of Evolutionary Economics,1432-1386,Yes,Springer Nature (Springer),Journal of Evolutionary Economics,2.343
Cellular and Molecular Bioengineering,1865-5033,Yes,Springer Nature (Springer),Cellular and Molecular Bioengineering,2.321
Molecular Biology Reports,1573-4978,Yes,Springer Nature (Springer),Molecular Biology Reports,2.316
Medical Molecular Morphology,1860-1499,Yes,Springer Nature (Springer),Medical Molecular Morphology,2.309
Journal of Molecular Recognition,1099-1352,Yes,Wiley,Journal of Molecular Recognition,2.137
Marine Mammal Science,1748-7692,Yes,Wiley,Marine Mammal Science,2.09
Journal of Software: Evolution and Process,2047-7481,Yes,Wiley,Journal of Software Evolution and Process,1.972
Origins of Life and Evolution of Biospheres,1573-0875,Yes,Springer Nature (Springer),Origins of Life and Evolution of Biospheres,1.95
Macromolecular Reaction Engineering,1862-8338,Yes,Wiley,Macromolecular Reaction Engineering,1.931
Evolution & Development,1525-142X,Yes,Wiley,Evolution and Development,1.93
Genes & Genomics,2092-9293,Yes,Springer Nature (Springer),Genes and Genomics,1.839
Geo-Marine Letters,1432-1157,Yes,Springer Nature (Springer),Geo Marine Letters,1.836
Journal of Molecular Modeling,0948-5023,Yes,Springer Nature (Springer),Journal of Molecular Modeling,1.81
Journal of Marine Science and Technology,1437-8213,Yes,Springer Nature (Springer),Journal of Marine Science and Technology,1.8
Journal of Evolution Equations,1424-3202,Yes,Springer Nature (Springer),Journal of Evolution Equations,1.67
Plant Systematics and Evolution,1615-6110,Yes,Springer Nature (Springer),Plant Systematics and Evolution,1.631
Plant Molecular Biology Reporter,1572-9818,Yes,Springer Nature (Springer),Plant Molecular Biology Reporter,1.595
Marine Biodiversity,1867-1624,Yes,Springer Nature (Springer),Marine Biodiversity,1.533
Macromolecular Theory and Simulations,1521-3919,Yes,Wiley,Macromolecular Theory and Simulations,1.53
Genetic Resources and Crop Evolution,1573-5109,Yes,Springer Nature (Springer),Genetic Resources and Crop Evolution,1.524
Journal of the Marine Biological Association of the United Kingdom,1469-7769,Yes,CUP,Journal of the Marine Biological Association of the United Kingdom,1.394
Biochemistry and Molecular Biology Education,1539-3429,Yes,Wiley,Biochemistry and Molecular Biology Education,1.16
Molecular & Cellular Toxicology,2092-8467,Yes,Springer Nature (Springer),Molecular and Cellular Toxicology,1.08
Development Genes and Evolution,1432-041X,Yes,Springer Nature (Springer),Development Genes and Evolution,0.9
Biomolecular NMR Assignments,1874-270X,Yes,Springer Nature (Springer),Biomolecular Nmr Assignments,0.746
Thalassas: An International Journal of Marine Sciences,2366-1674,Yes,Springer Nature (Springer),Thalassas,0.62
Evolutionary Human Sciences,2513-843X,Yes,CUP,Evolutionary Human Sciences,NA
Journal of Language Evolution,2058-458X,Yes,OUP,Journal of Language Evolution,NA
Current Molecular Biology Reports,2198-6428,Yes,Springer Nature (Springer),Current Molecular Biology Reports,NA
Evolutionary and Institutional Economics Review,2188-2096,Yes,Springer Nature (Springer),Evolutionary and Institutional Economics Review,NA
Evolutionary Intelligence,1864-5917,Yes,Springer Nature (Springer),Evolutionary Intelligence,NA
Evolutionary Psychological Science,2198-9885,Yes,Springer Nature (Springer),Evolutionary Psychological Science,NA
Journal of Marine Science and Application,1993-5048,Yes,Springer Nature (Springer),Journal of Marine Science and Application,NA
Journal of Molecular Medicine,1432-1440,Yes,Springer Nature (Springer),Journal of Molecular Medicine,NA
Journal of Ocean Engineering and Marine Energy,2198-6452,Yes,Springer Nature (Springer),Journal of Ocean Engineering and Marine Energy,NA
Marine Life Science & Technology,2662-1746,Yes,Springer Nature (Springer),Marine Life Science and Technology,NA
Marine Systems & Ocean Technology,2199-4749,Yes,Springer Nature (Springer),Marine Systems and Ocean Technology,NA
NeuroMolecular Medicine,1559-1174,Yes,Springer Nature (Springer),Neuro Molecular Medicine,NA
Nuclear Medicine and Molecular Imaging,1869-3482,Yes,Springer Nature (Springer),Nuclear Medicine and Molecular Imaging,NA
Review of Evolutionary Political Economy,2662-6144,Yes,Springer Nature (Springer),Review of Evolutionary Political Economy,NA
The Pharmacogenomics Journal,1473-1150,Yes,Springer Nature (Academic Journals on Nature.com),The Pharmacogenomics Journal,NA
Current Protocols in Molecular Biology,1934-3647,Yes,Wiley,Current Protocols in Molecular Biology,NA
Macromolecular Symposia,1521-3900,Yes,Wiley,Macromolecular Symposia,NA
Marine Ecology,1439-0485,Yes,Wiley,Marine Ecology,NA
